"subj" "expt" "item" "cond" "pos" "word" "region" "rt" "dist.SR" "dist.OR" "RCType" "dist" "int" "lrt"
"103" 1 "RC1" 14 "b" "3" "खरीदी_थी" "RCVerb" 438 -1 0 -1 -1 1 6.08221891037645
"121" 1 "RC1" 16 "d" "4" "खोला_था" "RCVerb" 531 0 -1 1 -1 -1 6.27476202124194
"154" 1 "RC1" 15 "c" "4" "खरीदा_था," "RCVerb" 422 0 1 1 1 1 6.04500531403601
"171" 1 "RC1" 18 "b" "3" "खरीदी_थी" "RCVerb" 1000 -1 0 -1 -1 1 6.90775527898214
"219" 1 "RC1" 4 "d" "3" "खाया_था" "RCVerb" 344 0 -1 1 -1 -1 5.8406416573734
"325" 1 "RC1" 17 "a" "4" "पहनी_हुई_थी," "RCVerb" 406 1 0 -1 1 -1 6.00635315960173
"340" 1 "RC1" 10 "b" "3" "मांगी_थी" "RCVerb" 547 -1 0 -1 -1 1 6.30444880242198
"373" 1 "RC1" 5 "a" "4" "खरीदी_थी," "RCVerb" 454 1 0 -1 1 -1 6.11809719804135
"388" 1 "RC1" 8 "d" "3" "रखा_था" "RCVerb" 625 0 -1 1 -1 -1 6.4377516497364
"424" 1 "RC1" 7 "c" "4" "साफ_किया_था," "RCVerb" 672 0 1 1 1 1 6.51025834052315
"450" 1 "RC1" 12 "d" "5" "दिखाया_था" "RCVerb" 468 0 -1 1 -1 -1 6.14846829591765
"489" 1 "RC1" 19 "c" "4" "फेका_था," "RCVerb" 344 0 1 1 1 1 5.8406416573734
"660" 1 "RC1" 20 "d" "3" "बनाया_था" "RCVerb" 516 0 -1 1 -1 -1 6.24610676548156
"677" 1 "RC1" 3 "c" "4" "चुना_था," "RCVerb" 422 0 1 1 1 1 6.04500531403601
"732" 1 "RC1" 1 "a" "4" "पढ़ी_थी," "RCVerb" 406 1 0 -1 1 -1 6.00635315960173
"772" 1 "RC1" 13 "a" "4" "सुलझाई_थी," "RCVerb" 532 1 0 -1 1 -1 6.27664348934164
"801" 1 "RC1" 6 "b" "3" "गायी_थी" "RCVerb" 422 -1 0 -1 -1 1 6.04500531403601
"939" 1 "RC1" 11 "c" "4" "बनाया_था," "RCVerb" 344 0 1 1 1 1 5.8406416573734
"1022" 1 "RC1" 9 "a" "5" "काटी_थी," "RCVerb" 422 1 0 -1 1 -1 6.04500531403601
"1042" 1 "RC1" 2 "b" "3" "खायी_थी" "RCVerb" 375 -1 0 -1 -1 1 5.92692602597041
"1092" 1 "RC1" 21 "a" "5" "उठायीं_थीं," "RCVerb" 515 1 0 -1 1 -1 6.24416690066374
"1146" 1 "RC1" 23 "c" "4" "उठा_लिया_था," "RCVerb" 422 0 1 1 1 1 6.04500531403601
